name,subname,country,county,city,commune,address,directions,phone,email,email2,website_url,cif,iban,siruta_code,is_active
DIRECŢIA GENERALĂ DE IMPOZITE ŞI TAXE LOCALE a municipiului RĂDĂUȚI,,Romania,Suceava,Radauti,,"Str. Piata Unirii nr. 2-4, cod 725400",,"Tel: 0230561140, 0755155423",impozite@primariaradauti.ro,contabilitate@primariaradauti.ro,,4244148,RO03TREZ59521150201XXXXX,,1
DIRECŢIA IMPOZITE ŞI TAXE LOCALE comuna Dobrosloveni,,Romania,Olt,,Dobrosloveni,str. Alexandru Ioan Cuza 3,,Tel: +40.249.530022,primar@dobrosloveni.ro,,,4395035,,,1
DIRECŢIA IMPOZITE ŞI TAXE LOCALE localitatea Șuncuiuș,,Romania,Bihor,Șuncuiuș,,str. Aurel Vlaicu nr439,,Tel: 0259444010,primaria.suncuius@cjbihor.ro,primaria.suncuius@yahoo.com,,4784199,,,1
DIRECŢIA IMPOZITE ŞI TAXE LOCALE localitatea Sântana de Mureş,,Romania,Mures,Sântana de Mureş,,"Str. Morii nr. 26, 547565",,"Tel/fax: 0265-323517, 323518",registratura@sintana.ro,sintana@cjmures.ro,,4323349,RO04TREZ47621150201XXXXX,,1
DIRECŢIA GENERALĂ DE IMPOZITE ŞI TAXE LOCALE a municipiului HUNEDOARA,,Romania,Hunedoara,Hunedoara,,Bulevardul Libertății nr. 26; cod poștal 331128,,Telefon:0254/716322; Fax: 0254/716087,taxe.impozite@primariahunedoara.ro,,,2127028,RO31TREZ36721150201XXXXX,,1
DIRECŢIA GENERALĂ DE IMPOZITE ŞI TAXE LOCALE a municipiului ORĂȘTIE,,Romania,Hunedoara,Orăștie,,"P-ța Aurel Vlaicu, Nr. 3",,Tel: /fax: 0254241513,primaria@orastie.info.ro,impozitesitaxe@orastie.info.ro,,4634515,RO97TREZ37021150201XXXXX,,1
Direcția Buget Finanțe Birou Impozite și Taxe a municipiului BLAJ,,Romania,Alba,Blaj,,Piaţa 1848 Nr. 16,,Telefon: +40 258 710 110,taxesiimpozite@primariablaj.ro,,,4563007,RO74TREZ00321150201XXXXX,,1
UNITATEA ADMINISTRATIV-TERITORIALĂ municipiul CODLEA,,Romania,Brasov,Codlea,,Str. Lungă nr. 33,,Telefon: +40 268 251650,contact@municipiulcodlea.ro,contact@primaria-codlea.ro,,4777108,RO15TREZ13721150201XXXXX,,1
UNITATEA ADMINISTRATIV-TERITORIALĂ orasul RUPEA,,Romania,Brasov,Rupea,,"str. Republicii nr.169, CP 505500",,Telefon contact: 0268260490,contact@primariarupea.ro,,https://www.primariarupea.ro/,4443388,RO24TREZ13321150201XXXXX,,1
UNITATEA ADMINISTRATIV-TERITORIALĂ municipiul SĂCELE,,Romania,Brasov,Săcele,,STR. P-ŢA LIBERTĂŢII NR.17,,TEL/FAX: 0268.276.164/0268.274.577,primaria@municipiulsacele.ro,,,4317649,RO90TREZ13621150201XXXXX,,1
Direcția Buget Finanțe Birou Impozite și Taxe a municipiului Curtea de Argeș,,Romania,Argeș,Curtea de Argeș,,bd. Basarabilor nr.99,,Telefon: +40 248 721107,impozite@primariacurteadearges.ro,,,4121927,RO94TREZ04821150201XXXXX,,1
DIRECŢIA IMPOZITE ŞI TAXE LOCALE localitatea Băluşeni,,Romania,Botosani,,Bălușeni,"str. Nicolae Sofian Nr. 83, sat Zăicești",,Telefon: 0231 515 849,primariabaluseni@yahoo.com,,,3433890,,,1
UNITATEA ADMINISTRATIV-TERITORIALĂ -DIRECŢIA IMPOZITE ŞI TAXE LOCALE comuna Vădeni,,Romania,Braila,Vădeni,,Str. Emilia Dumitrescu 181,,Tel: 0239 697 664/0239 697 616,office@vadeni.ro,impozite.taxe@vadeni.ro,,4342650,,,1
UNITATEA ADMINISTRATIV-TERITORIALĂ municipiul MARGHITA,,Romania,Bihor,Marghita,,Calea Republicii nr.1,,Tel: 0259 362001/409977,primaria@marghita.ro,,,4348947,RO66TREZ08221150201XXXXX,,1
"DIRECȚIA ECONOMICĂ - SERVICIUL IMPOZITE, TAXE ȘI ALTE VENITURI MUNICIPIUL MIERCUREA- CIUC",,Romania,Harghita,Miercurea- Ciuc,,P-ța Cetății nr. 1,,Telefon: 00-40-266-315120; 0743-040 500; Fax: 00-40-266-315413,impozite@miercureaciuc.ro,,,4245747,RO67TREZ35121150201XXXXX,,1
"DIRECȚIA ECONOMICĂ - SERVICIUL IMPOZITE, TAXE ȘI ALTE VENITURI municipiul RÂMNICU SĂRAT",,Romania,Buzau,Râmnicu Sărat,,"Str. Nicolae Bălcescu 1, 125300",,Tel: 0238/561946 Impozite si Taxe: 0238561946,impozite@primariermsarat.ro,,,2406871,RO93TREZ16721150201XXXXX,,1
DIRECŢIA IMPOZITE ŞI TAXE LOCALE PRIMĂRIA Comunei SĂLIȘTEA,,Romania,Alba,,Salistea,"Str. Joseni, Nr. 447, Cod postal 517655",,"Tel: 0258/762101, 0258/762007",primaria_salistea@yahoo.com,,,4562001,,,1
"DIRECȚIA ECONOMICĂ - SERVICIUL IMPOZITE, TAXE ȘI ALTE VENITURI municipiul ODORHEIU SECUIESC",,Romania,Harghita,Odorheiu Secuiesc,,Piata Varoshaza nr.5,,Tel: 0266218145 (1907)/ 02662183182,kovacs.eva@udvarhely.ro,,,4367558,RO89TREZ35221150201XXXXX,,1
"DIRECȚIA ECONOMICĂ - SERVICIUL IMPOZITE, TAXE ȘI ALTE VENITURI municipiul SLATINA",,Romania,Olt,Slatina,,Str. Toamnei nr.6,,Tel: 0249.411.070 si tel 0760296355; fax:249/412524,dge_slatina@primariaslatina.ro,,,4394811,RO82TREZ50621150201XXXXX,,1
"DIRECȚIA ECONOMICĂ - SERVICIUL IMPOZITE, TAXE ȘI ALTE VENITURI municipiul CURTEA DE ARGEȘ",,Romania,Argeș,CURTEA DE ARGEȘ,,str. Basarabilor nr.99,,"Tel.0248,721033",impozite@primariacurteadearges.ro,registratura@primariacurteadearges.ro,,4121927,RO94TREZ04821150201XXXXX,,1
"DIRECȚIA ECONOMICĂ - SERVICIUL IMPOZITE, TAXE ȘI ALTE VENITURI municipiul CÂMPINA",,Romania,Prahova,Câmpina,,str. Calea Doftanei nr. 18,,"Telefon: 0244.374.425, 0244.374.485",directia_economica@primariacampina.ro,,,2843272,RO46TREZ52221150201XXXXX,,1
DIRECŢIA IMPOZITE ŞI TAXE LOCALE PRIMĂRIA Comunei GRĂDIȘTEA,,Romania,Ilfov,,Gradistea,"Strada Primariei, Nr. 29",,Tel: 021.266.27.60,primariagradisteaif@yahoo.com,gradistea2007@yahoo.com,,4420813,,,1
Direcţia Venituri – Impozite şi taxe Oraşul Tîrgu Neamţ,,Romania,Neamt,Târgu Neamț,,Bulevardul Stefan cel Mare nr.62,,"Tel: 0374480110 impozite pj, centrala 0233/790245, int. 110",juridice@primariatgneamt.ro,sef_itx@primariatgneamt.ro,,2614104,RO87TREZ49321150201XXXXX,121055,1
DIRECŢIA IMPOZITE ŞI TAXE LOCALE PRIMĂRIA Comunei CACICA,,Romania,Suceava,,Cacica,"Sat Pîrteşti de Sus, Nr. 234",,Telefon: 0230 237002,primariacacica@yahoo.com,,,4441174,,,1
DIRECŢIA IMPOZITE ŞI TAXE LOCALE PRIMĂRIA Comunei BORȘ,,Romania,Bihor,,Bors,"Strada nr. 200, Cod postal: 417075",,Tel: 0259 316155,primariabors@gmail.com,primaria.bors@cjbihor.ro,,4390526,,,1
DIRECŢIA IMPOZITE ŞI TAXE LOCALE PRIMĂRIA BĂILE GOVORA,,Romania,Valcea,BĂILE GOVORA,,"STR. TUDOR VLADIMIRESCU, NR. 75-77",,Tel: 0250 770 460,primaria@primaria-baile-govora.ro,,,2541827,RO83TREZ67121A470400XXXX,,1
DIRECŢIA IMPOZITE ŞI TAXE LOCALE PRIMĂRIA Comunei Bobâlna,,Romania,Cluj,,Bobâlna,"Str. Principala, Nr. 37, Cod poștal: 407085",,Telefon: 0264-355046,primar@primariabobilna.ro,,,4378760,RO17TREZ21721360250XXXXX,,1
"DIRECȚIA ECONOMICĂ - SERVICIUL IMPOZITE, TAXE ȘI ALTE VENITURI municipiul Vatra Dornei",,Romania,Suceava,Vatra Dornei,,"Str. Mihai Eminescu nr.17, Cod Postal: 725700",,"Tel: 0230.375.229, 0230.375517",primaria@vatra-dornei.ro,contact@primariavatradornei.ro,,7467268,RO47TREZ59721150201XXXXX,,1
DIRECŢIA IMPOZITE ŞI TAXE LOCALE PRIMĂRIA Comunei FLOREȘTI Cluj,,Romania,Cluj,,Florești,"Avram Iancu, nr. 170",,Telefon: 0364-994,impozite@floresticluj.ro,,,4485391,RO07TREZ21621150201XXXXX,,1
"DIRECȚIA ECONOMICĂ - SERVICIUL IMPOZITE, TAXE ȘI ALTE VENITURI municipiul CÂMPULUNG MUSCEL",,Romania,Argeș,CÂMPULUNG MUSCEL,,"Str. Negru Vodă, nr. 127",,"Tel/fax:0248511034, 0248510055; Mobil: 0756.998.960",primarie@primariacampulung.ro,campulung@muscel.ro,,4122361,RO72TREZ04721150201XXXXX,,1
DIRECŢIA IMPOZITE ŞI TAXE LOCALE PRIMĂRIA Comunei ȘCHEIA Suceava,,Romania,Suceava,,Șcheia,"str. Mihoveni nr.4, Cod postal: 727525",,Tel: 0230/526588; fax: 0230/526556,sv.primariascheia@yahoo.com,,,4327421,,,1
ORAȘUL BECLEAN - Serviciul Impozite si Taxe Locale,,Romania,Bistrita Nasaud,Beclean,,"Str. Trandafirilor nr.2, cod 425100",,Tel: 0263-343447/ 343687,secretariat@primariabeclean.ro,,,4548821,RO21TREZ10221150201XXXXX,32483,1
DIRECŢIA IMPOZITE ŞI TAXE LOCALE PRIMĂRIA Comunei Balotești judet Ilfov,,Romania,Ilfov,,Balotești,"Șoseaua Unirii, Nr. 218",,Tel: 031/4301403 si 0213511092/ 0213511093,registratura@pblt.ro,impozitesitaxe@pblt.ro,,4532469,,,1
"DIRECȚIA ECONOMICĂ - SERVICIUL IMPOZITE, TAXE ȘI ALTE VENITURI municipiul Sebeș",,Romania,Alba,Sebeş,,"Str. Primăriei, nr. 1",,Tel: 0258/731132/700098,directiavenituri@primariasebes.ro,,,4331201,RO21TREZ00521150201XXXXX,,1
DIRECŢIA IMPOZITE ŞI TAXE LOCALE PRIMĂRIA Comunei Mogoșoaia judet Ilfov,,Romania,Ilfov,,Mogosoaia,Sos. Bucuresti-Targoviste nr. 138,,Tel: 021.351.66.92 /Fax: 021.351.66.95,primaria@mogosoaia.ro,,https://mogosoaia.ro,4420830,RO77TREZ42221150201XXXXX,,1
DIRECŢIA IMPOZITE ŞI TAXE LOCALE PRIMĂRIA Comunei Popești Leordeni judet Ilfov,,Romania,Ilfov,,Popești-Leordeni,"Piața Sf. Maria, Nr. 1",,Telefon: 031 131 34 00/ 031 131 34 10 Registratura Tel: 031 131 34 04,relatiipublice@ppl.ro,registratura@ppl.ro,,4505596,,,1
